id,lat,lon,name
9969312649,-11.682216,32.77496,Chikwa Rural Health Centre
9969312652,-9.711821,32.959212,Mwene Chanka Rural Health Centre
9969312653,-9.260462,32.3458,Nalulenga Underfive Clinic
9969312654,-10.310101,32.86947,Under5 Meeting Center
9969312656,-9.686043,32.736384,Nacitema Health Post
9969312657,-11.336754,30.672255,Chinkobo Health Post
9969312658,-10.330193,33.120066,Sichitambule Health Post
9969312659,-9.5507639,32.7434685,Mayembe Health Post
9969312662,-10.256052,33.008237,Kampumbu Rural Health Centre
9969312665,-10.545149,31.673192,Mwaba Clinic
9969312666,-10.1005861,32.1929047,Kalisha Health Post
9969312667,-11.339562,30.953586,Kanseke Mothers Shelter
9969312669,-11.401827,31.383788,Kanyelele Health Post
9969312670,-11.066988,31.960693,Kabangama Rural Health Center
9969312671,-10.851243,31.285016,Kabanda Rural Health Centre
9969312672,-10.595367,32.140808,Kalwala Health Post
9969312673,-11.616227,30.559254,Chainda Health Centre
9969312676,-10.578848,31.572356,Health Post
9969312678,-10.644068,31.943858,Nkula Health Post
9969312679,-10.363136,33.40591,Choma Health Post
9969312680,-9.393553,32.262703,Chozi Rural Health Centre
9969312681,-10.565039,31.828391,Chibamba Health Post
9969312683,-10.303449,32.670348,Milongo Health Post
9969312684,-9.9103792,33.2382333,Nachisitu Rural Health Centre
9969312686,-9.586072,32.728305,NaN
9969312687,-12.008376,32.93449,Under Five Weighing In
9969312688,-10.326975,32.249893,Mundu Rural Health Centre
9969312689,-11.686924,30.957473,Mulonga Health Post
9969312690,-11.227299,30.742225,Chipembele Health Centre
9969312691,-10.2280379,33.4578189,Wiya Health Post
9969312692,-9.328831,32.751036,Gesika Private Clinic
9969312693,-10.7174864,31.8006852,Ilondola Rural Health Centre
9969312694,-10.831369,33.190872,Sitwe Health Post
9969312695,-10.157409,32.635223,NaN
9969312699,-10.552521,32.066618,Chinsali Hospital Affiliated Health Centre
9969312700,-11.434714,30.857616,Kawama Health Post
9969312701,-12.2431382,30.5769512,Chiundaponde Rural Health Centre
9969312703,-11.002752,31.972104,Kafwala Rural Health Center
9969312704,-11.267235,31.901523,Musonko Health Post
9969312705,-10.762498,31.843798,Shemu Under 5 Post
9969312706,-11.42403,31.148572,Puta
9969312707,-12.855648,30.778567,Underfive Children Health Centre
9969312709,-11.348483,31.772481,Mukwikile Health Post
9969312710,-10.998347,32.383497,Lundu Rural Health Centre
9969312713,-9.287208,32.442255,Nteko Health Post
9969312715,-10.153014,32.695539,Chinyansi Health Post
9969312716,-10.298183,33.442568,Kaseya Clinic
9969322217,-9.366258,32.609834,Chitamba Health Post
9969322220,-10.079057,32.575625,Kantenshya Health Post
